VBELN,AUART,KUNNR,MATNR,KWMENG,NETWR,WADAT,WERKS,GBSTA,ERDAT
SO-80368504,RO,CUST-1004,MAT-CG-10026,36,3373974.54,2026-10-21,PL-MUM,A,2026-08-07
SO-58368724,CS,CUST-1026,MAT-CG-10030,14,171161.63,2026-12-27,PL-NGP,B,2025-10-02
SO-42472381,OR,CUST-1063,MAT-CG-10008,9,375101.36,2026-10-15,PL-PUN,B,2025-11-14
SO-31946425,OR,CUST-1096,MAT-CG-10023,90,27286566.22,2026-09-23,PL-CHE,A,2026-02-07
SO-86807176,OR,CUST-1029,MAT-CG-10004,43,459523.16,2027-02-20,PL-HYD,A,2025-09-24
SO-12691381,CS,CUST-1002,MAT-CG-10027,133,18338256.82,2026-10-03,PL-BLR,B,2026-08-19
SO-91650533,OR,CUST-1092,MAT-CG-10015,66,2497248.65,2027-02-11,PL-CHE,B,2026-02-12
SO-43822694,OR,CUST-1060,MAT-CG-10023,119,33543297.21,2027-01-11,PL-JAI,B,2025-10-28
SO-78654208,CS,CUST-1048,MAT-CG-10007,3,89112.5,2027-01-30,PL-JAI,A,2026-03-24
SO-74657836,OR,CUST-1044,MAT-CG-10044,29,179527.95,2027-02-10,PL-KOL,A,2026-04-12
SO-35281262,OR,CUST-1067,MAT-CG-10042,78,241990.11,2026-09-14,PL-JAI,B,2025-09-19
SO-13416548,CS,CUST-1064,MAT-CG-10021,37,5844076.57,2026-11-05,PL-AHM,B,2026-02-06
SO-88252116,CS,CUST-1074,MAT-CG-10048,11,128842.81,2026-11-26,PL-HYD,C,2025-11-23
SO-58116670,RO,CUST-1039,MAT-CG-10041,123,9401203.79,2027-02-15,PL-NGP,A,2026-03-26
SO-27172371,CS,CUST-1034,MAT-CG-10007,122,3705705.99,2027-01-21,PL-BLR,C,2026-03-05
SO-39830361,OR,CUST-1029,MAT-CG-10042,24,74246.19,2026-11-17,PL-AHM,A,2026-02-14
SO-72244897,OR,CUST-1061,MAT-CG-10017,77,4524329.52,2027-02-09,PL-JAI,B,2025-10-10
SO-36111227,RO,CUST-1016,MAT-CG-10005,122,2218122.52,2026-12-06,PL-NGP,A,2026-01-24
SO-28436852,OR,CUST-1044,MAT-CG-10004,40,413591.33,2027-01-23,PL-PUN,A,2026-03-15
SO-20846331,OR,CUST-1043,MAT-CG-10046,48,525522.91,2026-10-15,PL-KOL,C,2026-07-25
SO-46712288,OR,CUST-1098,MAT-CG-10001,117,476933.43,2027-01-25,PL-BLR,B,2026-07-09
SO-95025258,OR,CUST-1052,MAT-CG-10009,113,5962905.88,2026-12-31,PL-AHM,A,2026-08-04
SO-60076822,OR,CUST-1042,MAT-CG-10035,53,2360935.32,2027-01-13,PL-HYD,A,2025-09-11
SO-40368869,CS,CUST-1045,MAT-CG-10001,65,248586.15,2026-09-26,PL-AHM,B,2025-10-26
SO-18762675,OR,CUST-1039,MAT-CG-10020,44,5594266.94,2026-12-25,PL-NGP,B,2025-11-28
SO-27956913,OR,CUST-1063,MAT-CG-10022,113,22789227.01,2026-10-18,PL-BLR,B,2026-08-14
SO-27610141,OR,CUST-1094,MAT-CG-10015,59,1956926.84,2027-01-07,PL-BLR,A,2026-02-17
SO-60357475,CS,CUST-1033,MAT-CG-10046,11,122738.2,2027-02-06,PL-MUM,B,2026-07-30
SO-97720360,OR,CUST-1007,MAT-CG-10043,29,133585.71,2026-12-15,PL-PUN,B,2026-06-21
SO-73672398,CS,CUST-1020,MAT-CG-10036,66,3787721.37,2027-02-22,PL-MUM,A,2026-01-20
SO-98916958,RO,CUST-1035,MAT-CG-10043,27,123244.9,2027-02-26,PL-BLR,B,2026-07-01
SO-47944260,OR,CUST-1014,MAT-CG-10033,32,553346.0,2027-02-02,PL-HYD,A,2025-11-29
SO-64996550,OR,CUST-1021,MAT-CG-10013,93,1790501.13,2027-01-05,PL-HYD,C,2025-12-20
SO-10367488,OR,CUST-1086,MAT-CG-10022,62,12024619.84,2026-09-28,PL-JAI,C,2025-12-14
SO-78679929,OR,CUST-1093,MAT-CG-10010,25,1638910.35,2026-11-04,PL-HYD,B,2026-03-25
SO-16721650,OR,CUST-1023,MAT-CG-10017,120,7908451.6,2026-11-13,PL-KOL,C,2026-03-16
SO-22750478,OR,CUST-1002,MAT-CG-10028,31,206744.17,2027-02-16,PL-BLR,A,2026-02-21
SO-22475714,OR,CUST-1044,MAT-CG-10029,70,575589.83,2026-12-11,PL-AHM,B,2026-04-06
SO-66604960,CS,CUST-1022,MAT-CG-10025,124,6801553.24,2027-02-25,PL-MUM,A,2026-07-01
SO-86362294,CS,CUST-1057,MAT-CG-10027,125,16530931.65,2026-12-06,PL-KOL,B,2026-08-09
SO-74837853,OR,CUST-1015,MAT-CG-10044,35,213829.02,2026-12-21,PL-MUM,A,2026-04-12
SO-11658959,CS,CUST-1087,MAT-CG-10042,82,246190.59,2027-01-25,PL-JAI,A,2025-09-15
SO-80209719,CS,CUST-1090,MAT-CG-10022,134,28016939.21,2026-12-19,PL-HYD,B,2026-02-27
SO-29952062,RO,CUST-1079,MAT-CG-10043,100,421004.93,2027-02-11,PL-BLR,B,2025-12-26
SO-20048242,OR,CUST-1042,MAT-CG-10032,44,1110421.23,2026-11-10,PL-MUM,B,2026-05-01
SO-64126921,OR,CUST-1011,MAT-CG-10036,98,5830967.37,2027-01-24,PL-PUN,A,2025-12-11
SO-25932563,OR,CUST-1096,MAT-CG-10029,82,720405.6,2026-09-26,PL-AHM,B,2026-08-05
SO-10022778,OR,CUST-1078,MAT-CG-10036,142,9044489.04,2027-02-10,PL-CHE,B,2025-11-09
SO-55748676,OR,CUST-1007,MAT-CG-10014,118,3398000.88,2026-12-25,PL-KOL,B,2025-10-10
SO-98203489,OR,CUST-1092,MAT-CG-10039,123,4112855.78,2026-09-24,PL-HYD,A,2026-03-02
SO-83509785,RO,CUST-1048,MAT-CG-10023,76,22647579.79,2026-09-11,PL-BLR,B,2026-06-13
SO-24356130,OR,CUST-1079,MAT-CG-10046,106,1091577.67,2026-09-30,PL-AHM,A,2026-01-01
SO-55356673,OR,CUST-1097,MAT-CG-10051,50,1524403.89,2027-02-09,PL-JAI,A,2026-01-05
SO-28070539,OR,CUST-1001,MAT-CG-10030,131,1660528.42,2026-09-12,PL-NGP,B,2025-10-28
SO-33783708,CS,CUST-1075,MAT-CG-10031,132,2332832.8,2026-10-02,PL-DEL,B,2025-09-21
SO-77660514,OR,CUST-1054,MAT-CG-10039,84,3015941.34,2027-02-24,PL-HYD,A,2026-02-01
SO-70779921,OR,CUST-1018,MAT-CG-10022,77,15646748.08,2027-02-26,PL-NGP,A,2025-11-16
SO-94903891,OR,CUST-1026,MAT-CG-10021,143,20272752.33,2026-11-13,PL-KOL,C,2026-06-17
SO-77631432,RO,CUST-1089,MAT-CG-10046,47,514985.19,2026-09-29,PL-KOL,B,2025-12-21
SO-99544328,CS,CUST-1054,MAT-CG-10038,148,3118113.78,2027-01-14,PL-CHE,B,2026-08-17
SO-13391969,OR,CUST-1019,MAT-CG-10034,29,712041.54,2026-09-14,PL-HYD,A,2026-06-02
SO-29653285,OR,CUST-1089,MAT-CG-10019,66,6286679.08,2026-10-22,PL-NGP,A,2026-02-21
SO-92692727,CS,CUST-1095,MAT-CG-10029,28,242928.4,2026-10-27,PL-NGP,B,2026-04-24
SO-99186817,OR,CUST-1049,MAT-CG-10033,75,1277030.17,2027-02-22,PL-KOL,B,2026-07-27
SO-37257905,RO,CUST-1100,MAT-CG-10001,66,272170.99,2026-12-22,PL-HYD,C,2025-09-26
SO-90985229,OR,CUST-1100,MAT-CG-10024,141,5166391.96,2026-10-19,PL-CHE,B,2026-05-25
SO-35095571,OR,CUST-1095,MAT-CG-10044,21,121971.37,2026-12-05,PL-MUM,B,2026-04-03
SO-27457234,OR,CUST-1075,MAT-CG-10036,69,4327599.83,2026-09-01,PL-KOL,B,2026-06-05
SO-53302669,RO,CUST-1007,MAT-CG-10003,41,334266.35,2027-02-07,PL-JAI,C,2026-03-22
SO-83841249,OR,CUST-1010,MAT-CG-10032,148,4027653.42,2026-11-20,PL-NGP,A,2026-05-21
SO-77798790,OR,CUST-1054,MAT-CG-10034,19,500399.42,2026-12-12,PL-DEL,A,2026-05-02
SO-54434998,OR,CUST-1038,MAT-CG-10014,86,2279235.44,2027-02-05,PL-NGP,B,2025-11-09
SO-25397719,CS,CUST-1045,MAT-CG-10049,4,61243.82,2027-02-11,PL-JAI,B,2026-04-21
SO-61186964,OR,CUST-1050,MAT-CG-10003,84,637408.54,2026-11-11,PL-MUM,B,2026-02-13
SO-69801634,OR,CUST-1006,MAT-CG-10033,132,2218645.93,2027-02-13,PL-HYD,A,2025-12-03
SO-32467350,RO,CUST-1069,MAT-CG-10006,26,543474.66,2026-09-16,PL-HYD,C,2025-10-05
SO-66936428,OR,CUST-1027,MAT-CG-10050,56,1263236.42,2027-02-26,PL-AHM,C,2026-07-18
SO-13188066,OR,CUST-1092,MAT-CG-10048,41,449256.52,2026-09-22,PL-DEL,A,2026-05-24
SO-84904794,OR,CUST-1074,MAT-CG-10051,66,2127493.29,2026-11-05,PL-AHM,B,2026-01-05
SO-68119636,OR,CUST-1003,MAT-CG-10041,105,7540002.64,2026-09-30,PL-NGP,A,2025-09-29
SO-88598977,OR,CUST-1090,MAT-CG-10047,18,149981.72,2026-11-30,PL-NGP,A,2026-03-28
SO-91411889,OR,CUST-1037,MAT-CG-10051,79,2527449.09,2026-12-21,PL-AHM,B,2025-09-19
SO-30981381,RO,CUST-1029,MAT-CG-10002,123,633306.29,2026-12-09,PL-NGP,A,2025-10-03
SO-96965116,OR,CUST-1002,MAT-CG-10010,78,4996146.0,2027-01-20,PL-BLR,A,2026-08-02
SO-90081663,OR,CUST-1069,MAT-CG-10001,148,585036.44,2026-09-21,PL-CHE,A,2026-02-28
SO-96695458,RO,CUST-1019,MAT-CG-10014,107,2812201.82,2026-10-26,PL-JAI,A,2026-05-16
SO-86140729,OR,CUST-1097,MAT-CG-10008,48,2093431.47,2027-01-18,PL-PUN,C,2025-11-15
SO-19041276,OR,CUST-1013,MAT-CG-10005,76,1259303.99,2027-01-26,PL-PUN,A,2026-02-22
SO-23427820,OR,CUST-1080,MAT-CG-10009,62,3106651.6,2026-10-19,PL-KOL,B,2026-01-05
SO-88405961,OR,CUST-1073,MAT-CG-10022,80,16608980.01,2026-11-19,PL-AHM,A,2026-08-21
SO-39732676,CS,CUST-1095,MAT-CG-10021,65,9790483.54,2026-11-09,PL-KOL,A,2025-09-10
SO-74418331,OR,CUST-1058,MAT-CG-10047,86,670061.21,2026-11-17,PL-PUN,B,2026-06-29
SO-47663633,OR,CUST-1069,MAT-CG-10012,22,2068688.51,2027-02-07,PL-DEL,C,2026-07-16
SO-94775473,OR,CUST-1075,MAT-CG-10002,131,718206.35,2027-01-29,PL-HYD,A,2025-11-14
SO-82434236,OR,CUST-1084,MAT-CG-10017,141,9170917.48,2026-12-02,PL-AHM,A,2025-10-26
SO-27969238,OR,CUST-1065,MAT-CG-10047,76,604884.4,2026-12-10,PL-KOL,B,2026-08-18
SO-92414513,CS,CUST-1022,MAT-CG-10043,63,292855.29,2026-10-05,PL-PUN,A,2026-05-24
SO-98504955,OR,CUST-1095,MAT-CG-10037,146,13809517.6,2026-11-30,PL-MUM,A,2025-12-17
SO-45481411,OR,CUST-1030,MAT-CG-10015,18,598886.53,2026-10-22,PL-NGP,A,2026-02-06
SO-16232730,OR,CUST-1084,MAT-CG-10031,118,2131098.77,2027-01-11,PL-CHE,C,2026-04-11
SO-86525600,OR,CUST-1049,MAT-CG-10038,141,2962341.11,2026-12-02,PL-JAI,C,2026-07-15
SO-60509993,OR,CUST-1067,MAT-CG-10034,66,1705259.53,2026-11-27,PL-PUN,B,2025-10-18
SO-28652010,OR,CUST-1022,MAT-CG-10001,130,491344.74,2027-01-09,PL-CHE,A,2026-06-08
SO-58616740,RO,CUST-1092,MAT-CG-10012,42,4305060.34,2027-02-16,PL-HYD,B,2026-03-07
SO-74628070,CS,CUST-1062,MAT-CG-10047,31,245653.87,2027-01-29,PL-BLR,C,2026-01-25
SO-15790734,OR,CUST-1074,MAT-CG-10002,64,351528.33,2026-10-04,PL-NGP,A,2025-11-03
SO-32325960,OR,CUST-1024,MAT-CG-10010,16,1019633.66,2026-12-12,PL-JAI,B,2025-10-01
SO-21508969,OR,CUST-1058,MAT-CG-10002,74,407245.72,2026-12-29,PL-PUN,A,2026-05-03
SO-88201440,OR,CUST-1080,MAT-CG-10027,38,5375162.39,2026-11-06,PL-BLR,C,2025-09-06
SO-90065352,RO,CUST-1009,MAT-CG-10022,118,23360775.57,2026-12-07,PL-BLR,A,2026-08-15
SO-77693989,CS,CUST-1054,MAT-CG-10013,135,2903017.13,2027-02-02,PL-DEL,A,2025-12-23
SO-81327320,RO,CUST-1097,MAT-CG-10040,11,506378.52,2027-01-01,PL-BLR,B,2025-11-20
SO-80067590,OR,CUST-1048,MAT-CG-10001,112,462745.26,2027-02-25,PL-NGP,B,2026-04-28
SO-57045704,RO,CUST-1095,MAT-CG-10031,99,1936720.05,2027-02-25,PL-JAI,A,2026-01-18
SO-74040812,OR,CUST-1011,MAT-CG-10009,67,3463163.4,2027-01-17,PL-AHM,A,2026-05-19
SO-87576121,RO,CUST-1016,MAT-CG-10001,3,11813.37,2026-12-05,PL-HYD,C,2026-03-15
SO-24305357,OR,CUST-1055,MAT-CG-10027,94,13281854.17,2026-11-03,PL-CHE,B,2026-01-19
SO-92125234,OR,CUST-1088,MAT-CG-10037,95,8580738.76,2026-10-22,PL-AHM,B,2025-11-11
SO-59689143,RO,CUST-1072,MAT-CG-10031,47,868146.34,2026-11-17,PL-JAI,A,2026-02-01
SO-98487446,OR,CUST-1096,MAT-CG-10048,37,399542.4,2027-02-26,PL-BLR,A,2026-05-06
SO-55424358,RO,CUST-1079,MAT-CG-10033,104,1848228.0,2026-09-13,PL-BLR,B,2025-10-02
SO-29505652,OR,CUST-1077,MAT-CG-10001,25,97292.9,2026-09-16,PL-CHE,A,2026-02-15
SO-61583363,OR,CUST-1079,MAT-CG-10006,11,252199.93,2026-11-12,PL-JAI,A,2026-05-26
SO-68917831,OR,CUST-1026,MAT-CG-10041,128,9790048.75,2027-01-10,PL-CHE,A,2026-08-06
SO-79231333,CS,CUST-1030,MAT-CG-10051,132,4138089.79,2027-02-19,PL-MUM,A,2026-04-23
SO-31131878,OR,CUST-1036,MAT-CG-10042,2,6216.69,2026-11-29,PL-AHM,B,2025-10-27
SO-12062459,CS,CUST-1091,MAT-CG-10013,134,2591056.84,2026-09-23,PL-NGP,A,2025-11-10
SO-56637316,OR,CUST-1029,MAT-CG-10038,91,1899552.14,2026-10-19,PL-PUN,B,2025-11-02
SO-33492771,OR,CUST-1065,MAT-CG-10001,68,252424.83,2026-09-18,PL-NGP,A,2026-03-02
SO-44587020,RO,CUST-1074,MAT-CG-10008,133,5281537.64,2026-12-22,PL-AHM,B,2025-12-19
SO-55588495,OR,CUST-1088,MAT-CG-10050,64,1428316.66,2027-01-28,PL-MUM,B,2026-06-25
SO-61361533,CS,CUST-1029,MAT-CG-10017,19,1219532.33,2026-10-28,PL-KOL,B,2026-02-24
SO-11305024,CS,CUST-1034,MAT-CG-10034,139,3511648.42,2026-09-23,PL-AHM,C,2026-03-01
SO-33955951,OR,CUST-1041,MAT-CG-10005,143,2423172.0,2027-01-24,PL-CHE,A,2025-09-08
SO-36798789,OR,CUST-1095,MAT-CG-10013,129,2558364.33,2026-11-06,PL-HYD,A,2026-05-12
SO-30937370,OR,CUST-1016,MAT-CG-10016,93,4785823.87,2027-02-20,PL-PUN,B,2026-08-20
SO-15672460,OR,CUST-1048,MAT-CG-10049,140,2196086.44,2027-01-04,PL-JAI,A,2025-12-15
SO-47616749,OR,CUST-1029,MAT-CG-10012,132,13409855.2,2026-10-02,PL-MUM,B,2026-01-19
SO-14370484,RO,CUST-1045,MAT-CG-10031,140,2553519.83,2027-02-22,PL-BLR,B,2026-06-23
SO-71749629,OR,CUST-1089,MAT-CG-10045,134,980503.88,2027-02-19,PL-HYD,B,2025-10-30
SO-58533442,RO,CUST-1034,MAT-CG-10007,85,2394568.09,2026-11-06,PL-HYD,A,2025-12-25
SO-59113508,OR,CUST-1064,MAT-CG-10040,89,4281420.99,2026-12-16,PL-KOL,A,2026-01-30
SO-34144323,RO,CUST-1017,MAT-CG-10018,117,9801517.66,2027-02-22,PL-HYD,A,2026-04-07
SO-68011418,OR,CUST-1026,MAT-CG-10016,144,6656530.13,2026-10-08,PL-PUN,A,2026-05-25
SO-28048483,CS,CUST-1067,MAT-CG-10027,129,17935363.42,2026-11-19,PL-PUN,A,2026-04-17
SO-16403434,OR,CUST-1013,MAT-CG-10036,147,9029521.93,2026-09-15,PL-HYD,A,2025-12-23
SO-70378491,CS,CUST-1043,MAT-CG-10041,26,1832845.53,2026-12-01,PL-NGP,B,2026-04-14
SO-65265613,OR,CUST-1045,MAT-CG-10023,7,2132584.68,2027-02-02,PL-HYD,B,2025-11-02
SO-33426205,OR,CUST-1046,MAT-CG-10042,139,405774.02,2027-01-08,PL-PUN,C,2026-01-07
SO-92364557,OR,CUST-1060,MAT-CG-10006,99,2262243.26,2026-10-07,PL-BLR,C,2026-03-04
SO-64327674,OR,CUST-1011,MAT-CG-10027,148,19517776.78,2026-10-28,PL-KOL,A,2025-09-23
SO-91253395,CS,CUST-1051,MAT-CG-10019,70,6210099.06,2026-12-22,PL-KOL,C,2025-10-27
SO-65564671,OR,CUST-1024,MAT-CG-10034,117,3213911.74,2026-10-02,PL-HYD,C,2026-04-17
SO-38262427,OR,CUST-1051,MAT-CG-10048,22,233215.28,2026-09-16,PL-PUN,B,2026-07-27
SO-80327779,OR,CUST-1014,MAT-CG-10002,103,540120.57,2026-10-09,PL-DEL,C,2026-02-05
SO-43204998,CS,CUST-1037,MAT-CG-10020,60,7124051.37,2026-10-02,PL-BLR,B,2026-05-28
SO-99060057,OR,CUST-1042,MAT-CG-10002,10,56976.38,2026-12-28,PL-NGP,A,2025-11-16
SO-82381952,OR,CUST-1076,MAT-CG-10029,36,313873.59,2027-02-08,PL-JAI,B,2025-11-28
SO-51562039,OR,CUST-1062,MAT-CG-10041,138,10119848.4,2026-09-22,PL-PUN,A,2026-02-17
SO-30900054,OR,CUST-1002,MAT-CG-10027,68,8755800.82,2026-10-04,PL-KOL,A,2025-12-26
SO-76025948,OR,CUST-1039,MAT-CG-10035,4,160298.45,2026-12-19,PL-CHE,B,2026-04-27
SO-83579795,OR,CUST-1025,MAT-CG-10051,3,91429.04,2027-01-21,PL-AHM,B,2026-04-18
SO-60782359,OR,CUST-1034,MAT-CG-10011,101,7290621.95,2027-02-07,PL-HYD,B,2025-10-14
SO-48208680,CS,CUST-1096,MAT-CG-10045,71,560110.7,2026-11-07,PL-AHM,A,2026-07-19
SO-48868823,OR,CUST-1082,MAT-CG-10012,36,3512355.56,2026-12-24,PL-CHE,C,2025-10-09
SO-53036072,OR,CUST-1020,MAT-CG-10032,50,1227033.04,2027-01-14,PL-MUM,A,2026-07-02
SO-26782477,CS,CUST-1057,MAT-CG-10019,70,6616634.09,2026-10-29,PL-DEL,A,2026-08-16
SO-55890766,OR,CUST-1040,MAT-CG-10032,57,1551542.29,2027-01-05,PL-KOL,B,2025-09-01
SO-54325223,OR,CUST-1097,MAT-CG-10051,10,327925.53,2026-09-14,PL-CHE,B,2026-07-18
SO-34374441,OR,CUST-1033,MAT-CG-10035,122,5478673.44,2026-09-03,PL-DEL,C,2026-04-18
SO-43173547,CS,CUST-1005,MAT-CG-10025,115,6387719.83,2026-09-24,PL-NGP,C,2026-05-09
SO-51890609,OR,CUST-1021,MAT-CG-10031,101,1903392.35,2026-09-10,PL-NGP,B,2026-06-22
SO-95700705,OR,CUST-1026,MAT-CG-10017,125,7678664.52,2026-09-13,PL-HYD,A,2026-04-25
SO-53555463,OR,CUST-1022,MAT-CG-10041,113,8578408.41,2027-01-27,PL-DEL,B,2026-04-21
SO-87990837,CS,CUST-1061,MAT-CG-10001,12,48358.44,2026-10-09,PL-KOL,A,2026-04-18
SO-22267708,CS,CUST-1080,MAT-CG-10011,129,9668237.76,2027-02-07,PL-MUM,A,2026-02-22
SO-81988124,OR,CUST-1017,MAT-CG-10042,41,122464.65,2026-11-20,PL-NGP,C,2026-02-27
SO-12865928,CS,CUST-1049,MAT-CG-10029,51,430050.78,2026-10-04,PL-CHE,A,2025-12-18
SO-85031037,OR,CUST-1070,MAT-CG-10046,114,1259366.15,2026-10-18,PL-JAI,A,2025-11-18
SO-72866875,OR,CUST-1077,MAT-CG-10023,84,25750477.39,2027-01-19,PL-BLR,A,2025-11-25
SO-49684512,OR,CUST-1070,MAT-CG-10010,117,7301417.33,2026-08-31,PL-NGP,B,2026-05-21
SO-93241474,OR,CUST-1042,MAT-CG-10002,95,531015.49,2027-02-15,PL-NGP,B,2026-05-18
SO-84016756,OR,CUST-1079,MAT-CG-10034,129,3275386.09,2026-12-13,PL-KOL,A,2026-07-05
SO-15875684,OR,CUST-1023,MAT-CG-10034,19,523250.76,2026-10-21,PL-DEL,B,2026-05-17
SO-86639957,CS,CUST-1050,MAT-CG-10007,10,300991.88,2027-01-12,PL-JAI,C,2025-10-25
SO-59171204,OR,CUST-1078,MAT-CG-10017,14,903594.04,2026-09-03,PL-HYD,C,2025-12-15
SO-95753950,OR,CUST-1047,MAT-CG-10006,121,2737143.67,2026-12-15,PL-KOL,C,2026-07-25
SO-81003974,OR,CUST-1094,MAT-CG-10040,70,3200107.66,2026-11-16,PL-DEL,A,2025-12-01
SO-41006711,RO,CUST-1050,MAT-CG-10007,27,760882.69,2027-01-12,PL-HYD,B,2025-10-07
SO-84912498,OR,CUST-1096,MAT-CG-10012,144,13361798.68,2027-02-10,PL-JAI,A,2025-09-12
SO-23972387,OR,CUST-1024,MAT-CG-10030,111,1410831.02,2027-01-07,PL-KOL,C,2026-06-04
SO-57288136,OR,CUST-1071,MAT-CG-10035,115,5284129.1,2026-11-22,PL-KOL,B,2025-10-03
SO-91659860,OR,CUST-1073,MAT-CG-10028,84,537460.02,2026-12-05,PL-NGP,C,2026-04-15
SO-70062404,OR,CUST-1001,MAT-CG-10024,117,4287814.55,2026-11-11,PL-JAI,A,2025-12-01
SO-10881653,OR,CUST-1029,MAT-CG-10009,79,4043365.13,2026-11-19,PL-MUM,C,2026-04-04
SO-84668420,RO,CUST-1074,MAT-CG-10036,132,7519673.97,2026-09-09,PL-PUN,A,2026-06-05
SO-59269031,RO,CUST-1032,MAT-CG-10009,69,3540837.58,2026-11-15,PL-DEL,B,2026-01-31
SO-20361818,CS,CUST-1042,MAT-CG-10037,57,5435611.17,2026-10-14,PL-PUN,C,2025-11-01
SO-15015930,CS,CUST-1074,MAT-CG-10007,78,2259459.64,2026-09-14,PL-KOL,A,2026-01-13
SO-40429530,CS,CUST-1084,MAT-CG-10027,32,4643326.72,2026-09-02,PL-AHM,A,2026-03-20
SO-52857940,RO,CUST-1073,MAT-CG-10034,12,298853.66,2027-01-06,PL-HYD,A,2026-07-29
SO-69809598,RO,CUST-1074,MAT-CG-10044,102,591682.81,2026-10-26,PL-AHM,A,2026-02-03
SO-55119729,OR,CUST-1061,MAT-CG-10010,35,2247403.72,2026-09-12,PL-NGP,B,2026-04-11
SO-77353558,OR,CUST-1100,MAT-CG-10006,104,2397965.03,2026-10-04,PL-PUN,B,2026-05-14
SO-97543303,RO,CUST-1026,MAT-CG-10032,103,2719472.96,2027-01-12,PL-HYD,A,2026-07-18
SO-53407575,CS,CUST-1074,MAT-CG-10018,112,8294537.84,2027-02-18,PL-AHM,B,2026-02-17
SO-53048774,OR,CUST-1077,MAT-CG-10023,50,14805650.86,2026-11-17,PL-BLR,A,2025-10-12
SO-69118000,OR,CUST-1030,MAT-CG-10029,39,321470.12,2026-12-04,PL-BLR,C,2026-07-11
SO-42621391,RO,CUST-1019,MAT-CG-10008,15,648738.95,2026-11-12,PL-MUM,A,2025-09-02
SO-70406241,OR,CUST-1003,MAT-CG-10008,80,3214266.79,2027-01-15,PL-HYD,A,2025-11-17
SO-83658696,OR,CUST-1080,MAT-CG-10034,68,1837150.69,2026-10-06,PL-MUM,B,2025-10-29
SO-15836056,OR,CUST-1022,MAT-CG-10043,136,573037.18,2026-10-21,PL-JAI,A,2026-07-27
SO-18938604,OR,CUST-1085,MAT-CG-10030,4,48884.6,2027-02-15,PL-KOL,A,2026-08-14
SO-41026926,OR,CUST-1066,MAT-CG-10019,100,9770203.61,2026-09-25,PL-KOL,B,2025-10-22
SO-35020518,OR,CUST-1065,MAT-CG-10035,24,1099233.9,2027-01-21,PL-MUM,A,2026-04-19
SO-54770958,OR,CUST-1051,MAT-CG-10034,80,2165566.58,2026-09-04,PL-KOL,C,2026-02-24
SO-41702866,RO,CUST-1036,MAT-CG-10023,79,23891123.3,2027-02-07,PL-CHE,B,2026-08-08
SO-40277197,OR,CUST-1044,MAT-CG-10036,73,4609548.4,2027-02-15,PL-BLR,A,2026-02-09
SO-66013532,OR,CUST-1074,MAT-CG-10034,60,1494960.42,2026-11-18,PL-JAI,A,2026-01-06
SO-37750491,CS,CUST-1018,MAT-CG-10035,35,1522309.73,2027-02-22,PL-HYD,A,2026-03-18
SO-28153282,OR,CUST-1099,MAT-CG-10045,136,1015444.87,2027-01-22,PL-BLR,A,2026-07-20
SO-25889673,OR,CUST-1041,MAT-CG-10036,138,8647746.16,2026-10-07,PL-MUM,A,2026-01-24
SO-69459055,CS,CUST-1082,MAT-CG-10027,79,11590542.72,2026-11-09,PL-BLR,A,2026-06-30
SO-13516265,RO,CUST-1079,MAT-CG-10009,49,2526805.15,2027-01-23,PL-JAI,A,2025-10-22
SO-13501001,OR,CUST-1011,MAT-CG-10015,61,2224024.49,2026-12-31,PL-BLR,B,2025-10-18
SO-34692904,OR,CUST-1063,MAT-CG-10031,97,1789231.15,2026-10-11,PL-HYD,A,2026-08-07
SO-46219821,OR,CUST-1029,MAT-CG-10027,5,715215.67,2026-10-21,PL-HYD,A,2026-05-25
SO-53606752,OR,CUST-1032,MAT-CG-10029,127,1081450.29,2026-09-10,PL-JAI,C,2026-02-10
SO-62902012,RO,CUST-1096,MAT-CG-10047,82,658212.98,2027-01-15,PL-NGP,C,2026-08-04
SO-70614013,OR,CUST-1006,MAT-CG-10034,29,799098.45,2026-11-01,PL-NGP,B,2026-02-02
SO-84853354,OR,CUST-1067,MAT-CG-10048,12,139603.79,2026-09-12,PL-HYD,A,2026-01-10
SO-48374806,OR,CUST-1022,MAT-CG-10026,79,7672212.09,2027-02-03,PL-MUM,C,2025-12-02
SO-96718276,OR,CUST-1012,MAT-CG-10010,120,7865783.72,2026-09-28,PL-BLR,B,2025-09-01
SO-62756521,OR,CUST-1042,MAT-CG-10035,36,1537786.71,2026-10-15,PL-PUN,B,2026-05-12
SO-43565477,OR,CUST-1089,MAT-CG-10030,25,322081.29,2026-10-11,PL-DEL,A,2026-06-26
SO-95103759,OR,CUST-1011,MAT-CG-10046,117,1262208.5,2026-12-07,PL-NGP,B,2026-06-03
SO-61084208,OR,CUST-1099,MAT-CG-10025,142,7855061.28,2026-11-24,PL-JAI,C,2026-06-08
SO-34007090,CS,CUST-1007,MAT-CG-10011,39,2956696.89,2026-11-18,PL-PUN,A,2025-10-07
SO-27659164,OR,CUST-1001,MAT-CG-10012,32,3195134.35,2026-11-03,PL-MUM,B,2025-12-12
SO-10771825,RO,CUST-1064,MAT-CG-10032,141,3556848.69,2027-01-28,PL-PUN,B,2026-01-26
SO-90693921,RO,CUST-1001,MAT-CG-10029,22,182526.89,2027-01-18,PL-CHE,B,2025-10-06
