LIFNR,NAME1,ORT01,MATNR,NETPR,MINBM,WEBAZ,EKGRP,MONTHLY_CAP,BOOKED_CAP,AVAIL_CAP,RELIABILITY,LAND1,LOEVM
VEND-3002,Crompton Authorized WD Mumbai,Maharashtra,MAT-CG-10048,7244.62,10,17,PG02,385,96,289,0.95,IN,
VEND-3005,Crompton Authorized WD Hyderabad,Telangana,MAT-CG-10048,6953.07,50,22,PG02,306,21,285,0.91,IN,
VEND-3012,Electro Power Systems Delhi,Delhi,MAT-CG-10048,7302.73,5,11,PG02,129,26,103,0.85,IN,
VEND-3006,Crompton Authorized WD Chennai,Tamil Nadu,MAT-CG-10048,7995.74,2,12,PG01,241,171,70,0.92,IN,
VEND-3008,Crompton Authorized WD Ahmedabad,Gujarat,MAT-CG-10049,9636.19,10,12,PG03,292,167,125,0.93,IN,
VEND-3005,Crompton Authorized WD Hyderabad,Telangana,MAT-CG-10049,10647.91,50,28,PG03,541,365,176,0.91,IN,
VEND-3003,Crompton Authorized WD Delhi,Delhi,MAT-CG-10049,11187.91,2,22,PG03,485,276,209,0.93,IN,
VEND-3014,Eastern Motor Traders Kolkata,West Bengal,MAT-CG-10049,10625.68,10,17,PG03,401,72,329,0.84,IN,
VEND-3007,Crompton Authorized WD Kolkata,West Bengal,MAT-CG-10049,11305.73,2,25,PG03,131,19,112,0.9,IN,
VEND-3008,Crompton Authorized WD Ahmedabad,Gujarat,MAT-CG-10050,14328.46,10,6,PG01,118,38,80,0.93,IN,
VEND-3005,Crompton Authorized WD Hyderabad,Telangana,MAT-CG-10050,16157.09,10,6,PG01,313,137,176,0.91,IN,
VEND-3002,Crompton Authorized WD Mumbai,Maharashtra,MAT-CG-10050,15581.65,10,18,PG02,245,143,102,0.95,IN,
VEND-3015,Western Drives Ahmedabad,Gujarat,MAT-CG-10050,15079.18,10,28,PG01,426,92,334,0.88,IN,
VEND-3014,Eastern Motor Traders Kolkata,West Bengal,MAT-CG-10050,14096.45,5,24,PG01,283,51,232,0.84,IN,
VEND-3004,Crompton Authorized WD Bengaluru,Karnataka,MAT-CG-10050,13730.67,10,17,PG03,89,17,72,0.94,IN,
VEND-3004,Crompton Authorized WD Bengaluru,Karnataka,MAT-CG-10051,19751.48,10,18,PG02,315,5,310,0.94,IN,
VEND-3015,Western Drives Ahmedabad,Gujarat,MAT-CG-10051,21959.13,2,26,PG02,531,34,497,0.88,IN,
VEND-3001,Crompton Greaves OEM Direct,Maharashtra,MAT-CG-10051,22811.77,2,19,PG02,547,186,361,0.99,IN,
